#Digilent WaveForms Oscilloscope Acquisition,,,,,,,
#Device Name: ADP5250-323F81C,,,,,,,
#Serial Number: SN:323F81C,,,,,,,
#Date Time: 2023-02-10 16:40:05.542.275.499,,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,,
#Samples: 32768,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,,
,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,
-0.005504833,-0.411522634,0,,,,3.374485597,-3.868312757
-0.005504497,-0.329218107,0,,,,,
-0.005504161,-0.987654321,0,,,,,
-0.005503825,-0.329218107,0,,,,,
-0.005503489,-5.99E-13,0,,,,,
-0.005503153,-0.082304527,0,,,,,
-0.005502817,0.658436214,0,,,,,
-0.005502481,-0.082304527,0,,,,,
-0.005502145,-0.24691358,0,,,,,
-0.005501809,-0.658436214,0,,,,,
-0.005501473,-0.411522634,0,,,,,
-0.005501137,-0.082304527,0,,,,,
-0.005500801,-0.164609053,0,,,,,
-0.005500465,0.082304527,0,,,,,
-0.005500129,1.50E-13,0,,,,,
-0.005499793,0.411522634,0,,,,,
-0.005499457,0.49382716,0,,,,,
-0.005499121,0.411522634,0,,,,,
-0.005498785,-0.24691358,0,,,,,
-0.005498449,-1.316872428,0,,,,,
-0.005498113,0,0,,,,,
-0.005497777,-0.411522634,0,,,,,
-0.005497441,0.082304527,0,,,,,
-0.005497105,0.49382716,0,,,,,
-0.005496769,0.411522634,0,,,,,
-0.005496433,0.24691358,0,,,,,
-0.005496097,0.082304527,0,,,,,
-0.005495761,-0.24691358,0,,,,,
-0.005495425,-1.069958848,0,,,,,
-0.005495089,-0.987654321,0,,,,,
-0.005494753,-0.576131687,0,,,,,
-0.005494417,0.411522634,0,,,,,
-0.005494081,0.905349794,0,,,,,
-0.005493745,0.823045267,0,,,,,
-0.005493409,0.658436214,0,,,,,
-0.005493073,1.20E-12,0,,,,,
-0.005492737,-0.49382716,0,,,,,
-0.005492401,-1.399176955,0,,,,,
