Time (s),Channel 1 (V)
-0.008191766,0
-0.008191266,0
-0.008190766,-0.576131687
-0.008190266,0.576131687
-0.008189766,-0.329218107
-0.008189266,-5.99E-13
-0.008188766,0.082304527
-0.008188266,1.481481481
-0.008187766,4.444444444
-0.008187266,3.29218107
-0.008186766,-0.740740741
-0.008186266,-0.576131687
-0.008185766,-3.950617284
-0.008185266,-4.032921811
-0.008184766,-3.868312757
-0.008184266,-0.164609054
-0.008183766,0.905349794
-0.008183266,0.082304527
-0.008182766,0.082304527
-0.008182266,1.975308642
-0.008181766,4.444444444
-0.008181266,4.444444444
-0.008180766,2.880658436
-0.008180266,-0.905349794
-0.008179766,-0.49382716
-0.008179266,4.197530864
-0.008178766,4.444444444
-0.008178266,-0.082304527
-0.008177766,-4.032921811
-0.008177266,-3.868312757
-0.008176766,-3.868312757
-0.008176266,0.082304527
-0.008175766,1.646090535
-0.008175266,4.444444444
-0.008174766,4.526748971
-0.008174266,3.456790123
-0.008173766,-1.316872428
-0.008173266,-3.950617284
-0.008172766,-3.950617284
-0.008172266,-3.78600823
-0.008171766,-1.399176955
-0.008171266,0.740740741
-0.008170766,1.234567901
-0.008170266,0.164609053
-0.008169766,0.740740741
-0.008169266,0.49382716
-0.008168766,0.164609053
-0.008168266,-0.082304527
-0.008167766,-0.164609053
-0.008167266,-0.164609053
-0.008166766,-0.082304527
-0.008166266,0
-0.008165766,0.082304527
-0.008165266,8.38E-12
-0.008164766,4.609053498
-0.008164266,4.444444444
-0.008163766,0.823045267
-0.008163266,-0.905349794
-0.008162766,-3.209876543
-0.008162266,-3.950617284
-0.008161766,-4.032921811
-0.008161266,-1.810699588
-0.008160766,1.728395062
-0.008160266,0.658436214
-0.008159766,0.411522634
-0.008159266,1.399176955
-0.008158766,3.53909465
-0.008158266,4.197530864
-0.008157766,3.621399177
-0.008157266,2.139917695
-0.008156766,0.658436214
-0.008156266,2.386831276
-0.008155766,4.444444444
-0.008155266,0.24691358
-0.008154766,-3.950617284
-0.008154266,-3.950617284
-0.008153766,-3.950617284
-0.008153266,-0.740740741
-0.008152766,1.069958848
-0.008152266,4.444444444
-0.008151766,4.444444444
-0.008151266,4.362139918
-0.008150766,0.823045267
-0.008150266,-5.349794239
-0.008149766,-3.950617284
-0.008149266,-3.78600823
-0.008148766,-2.304526749
-0.008148266,0.411522634
-0.008147766,1.152263374
-0.008147266,1.069958848
-0.008146766,0.987654321
-0.008146266,0.576131687
-0.008145766,0.24691358
-0.008145266,0
-0.008144766,-0.164609053
-0.008144266,-0.164609053
-0.008143766,-0.082304527
-0.008143266,0
-0.008142766,0.082304527
-0.008142266,0.082304527
-0.008141766,4.526748971
-0.008141266,4.526748971
-0.008140766,2.304526749
-0.008140266,0.411522634
-0.008139766,-0.49382716
-0.008139266,-4.032921811
-0.008138766,-3.950617284
-0.008138266,-3.209876543
-0.008137766,0.658436214
-0.008137266,0.658436214
-0.008136766,0
-0.008136266,0.576131687
-0.008135766,4.197530864
-0.008135266,4.362139918
-0.008134766,2.139917695
-0.008134266,0.823045267
-0.008133766,0.905349794
-0.008133266,1.810699588
-0.008132766,4.526748971
-0.008132266,1.975308642
-0.008131766,-0.905349794
-0.008131266,-4.032921811
-0.008130766,-3.703703704
-0.008130266,-2.633744856
-0.008129766,1.234567901
-0.008129266,4.444444444
-0.008128766,4.444444444
-0.008128266,4.444444444
-0.008127766,1.399176955
-0.008127266,-3.209876543
-0.008126766,-3.950617284
-0.008126266,-3.950617284
-0.008125766,-3.209876543
-0.008125266,-0.411522634
-0.008124766,1.069958848
-0.008124266,1.152263374
-0.008123766,0.987654321
-0.008123266,0.740740741
-0.008122766,0.329218107
-0.008122266,-0.164609053
-0.008121766,0.164609053
-0.008121266,-0.411522634
-0.008120766,0.082304527
-0.008120266,0.411522634
-0.008119766,0.164609053
-0.008119266,0.164609053
-0.008118766,2.633744856
-0.008118266,4.444444444
-0.008117766,2.798353909
-0.008117266,-0.823045267
-0.008116766,-0.411522634
-0.008116266,-4.032921811
-0.008115766,-4.032921811
-0.008115266,-3.868312757
-0.008114766,0.082304527
-0.008114266,0.905349794
-0.008113766,0
-0.008113266,0.082304527
-0.008112766,1.893004115
-0.008112266,4.444444444
-0.008111766,4.444444444
-0.008111266,3.04526749
-0.008110766,0.329218107
-0.008110266,0.658436214
-0.008109766,4.609053498
-0.008109266,3.621399177
-0.008108766,-0.576131687
-0.008108266,-4.032921811
-0.008107766,-3.868312757
-0.008107266,-3.950617284
-0.008106766,0.411522634
-0.008106266,1.810699588
-0.008105766,4.362139918
-0.008105266,4.609053498
-0.008104766,3.209876543
-0.008104266,-1.481481481
-0.008103766,-3.950617284
-0.008103266,-4.032921811
-0.008102766,-3.78600823
-0.008102266,-1.316872428
-0.008101766,0.740740741
-0.008101266,1.234567901
-0.008100766,1.152263374
-0.008100266,-0.082304527
-0.008099766,0.658436214
-0.008099266,0.164609053
-0.008098766,-0.082304527
-0.008098266,-0.164609053
-0.008097766,-0.164609053
-0.008097266,-0.082304527
-0.008096766,0
-0.008096266,0.082304527
-0.008095766,0.164609053
-0.008095266,4.444444444
-0.008094766,4.444444444
-0.008094266,0.082304527
-0.008093766,-0.905349794
-0.008093266,-4.115226337
-0.008092766,-3.621399177
-0.008092266,-4.197530864
-0.008091766,-1.316872428
-0.008091266,1.152263374
-0.008090766,-0.329218107
-0.008090266,1.481481481
-0.008089766,2.057613169
-0.008089266,4.279835391
-0.008088766,3.374485597
-0.008088266,1.975308642
-0.008087766,1.563786008
-0.008087266,1.069958848
-0.008086766,4.526748971
-0.008086266,4.526748971
-0.008085766,-7.34E-12
-0.008085266,-4.032921811
-0.008084766,-3.950617284
-0.008084266,-3.950617284
-0.008083766,-0.411522634
-0.008083266,1.152263374
-0.008082766,4.444444444
-0.008082266,4.444444444
-0.008081766,4.032921811
-0.008081266,-0.49382716
-0.008080766,-4.115226337
-0.008080266,-3.53909465
-0.008079766,-3.78600823
-0.008079266,-1.893004115
-0.008078766,0.658436214
-0.008078266,0.987654321
-0.008077766,1.234567901
-0.008077266,0.905349794
-0.008076766,0.49382716
-0.008076266,0.329218107
-0.008075766,-0.082304527
-0.008075266,-0.164609053
-0.008074766,-0.082304527
-0.008074266,-0.164609053
-0.008073766,0
-0.008073266,0.082304527
-0.008072766,0.082304527
-0.008072266,4.444444444
-0.008071766,4.444444444
-0.008071266,1.316872428
-0.008070766,-1.810699588
-0.008070266,-1.975308642
-0.008069766,-4.032921811
-0.008069266,-3.950617284
-0.008068766,-2.551440329
-0.008068266,0.823045267
-0.008067766,0.576131687
-0.008067266,-0.082304527
-0.008066766,0.576131687
-0.008066266,3.456790123
-0.008065766,4.444444444
-0.008065266,4.279835391
-0.008064766,1.810699588
-0.008064266,-1.316872428
-0.008063766,0.082304527
-0.008063266,4.279835391
-0.008062766,2.386831276
-0.008062266,-1.234567901
-0.008061766,-4.032921811
-0.008061266,-3.950617284
-0.008060766,-2.304526749
-0.008060266,2.222222222
-0.008059766,4.444444444
-0.008059266,4.444444444
-0.008058766,4.444444444
-0.008058266,0.905349794
-0.008057766,-3.78600823
-0.008057266,-3.950617284
-0.008056766,-3.868312757
-0.008056266,-2.880658436
-0.008055766,-5.24E-12
-0.008055266,1.069958848
-0.008054766,1.152263374
-0.008054266,0.987654321
-0.008053766,0.658436214
-0.008053266,0.329218107
-0.008052766,-2.99E-13
-0.008052266,-0.164609053
-0.008051766,-0.164609053
-0.008051266,-0.082304527
-0.008050766,-0.658436214
-0.008050266,-1.399176955
-0.008049766,-0.164609053
-0.008049266,4.279835391
-0.008048766,4.526748971
-0.008048266,1.234567901
-0.008047766,-1.069958848
-0.008047266,-0.49382716
-0.008046766,-4.032921811
-0.008046266,-3.950617284
-0.008045766,-3.621399177
-0.008045266,0.329218107
-0.008044766,0.823045267
-0.008044266,-0.082304527
-0.008043766,0.411522634
-0.008043266,3.127572016
-0.008042766,4.115226337
-0.008042266,3.209876543
-0.008041766,2.469135802
-0.008041266,1.893004115
-0.008040766,0.658436214
-0.008040266,5.514403292
-0.008039766,1.399176955
-0.008039266,-0.987654321
-0.008038766,-4.032921811
-0.008038266,-3.950617284
-0.008037766,-3.04526749
-0.008037266,0.658436214
-0.008036766,3.703703704
-0.008036266,4.444444444
-0.008035766,4.444444444
-0.008035266,1.810699588
-0.008034766,-2.304526749
-0.008034266,-4.115226337
-0.008033766,-4.032921811
-0.008033266,-3.29218107
-0.008032766,-0.740740741
-0.008032266,1.069958848
-0.008031766,1.234567901
-0.008031266,0.987654321
-0.008030766,0.740740741
-0.008030266,-0.823045267
-0.008029766,-0.082304527
-0.008029266,-0.082304527
-0.008028766,-0.164609053
-0.008028266,-0.082304527
-0.008027766,-0.082304527
-0.008027266,0
-0.008026766,0.082304527
-0.008026266,0.411522634
-0.008025766,4.444444444
-0.008025266,4.279835391
-0.008024766,-0.164609053
-0.008024266,-0.823045267
-0.008023766,-3.950617284
-0.008023266,-4.032921811
-0.008022766,-3.950617284
-0.008022266,-0.658436214
-0.008021766,0.987654321
-0.008021266,0.164609053
-0.008020766,0.329218107
-0.008020266,1.728395062
-0.008019766,4.444444444
-0.008019266,4.362139918
-0.008018766,1.728395062
-0.008018266,0
-0.008017766,0
-0.008017266,4.444444444
-0.008016766,4.526748971
-0.008016266,0.164609053
-0.008015766,-3.950617284
-0.008015266,-3.950617284
-0.008014766,-3.868312757
-0.008014266,-0.082304527
-0.008013766,1.399176955
-0.008013266,4.444444444
