#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:48:01.658.393.199,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005504688,-0.24691358,0,,,2.962962963,-3.127572016
-0.005504352,-0.164609053,0,,,,
-0.005504016,0.082304527,0,,,,
-0.00550368,0.164609053,0,,,,
-0.005503344,0.329218107,0,,,,
-0.005503008,0.411522634,0,,,,
-0.005502672,0.082304527,0,,,,
-0.005502336,-0.24691358,0,,,,
-0.005502,-0.576131687,0,,,,
-0.005501664,-0.411522634,0,,,,
-0.005501328,-0.24691358,0,,,,
-0.005500992,-0.082304527,0,,,,
-0.005500656,0.164609053,0,,,,
-0.00550032,0.24691358,0,,,,
-0.005499984,0.411522634,0,,,,
-0.005499648,0.329218107,0,,,,
-0.005499312,0,0,,,,
-0.005498976,-0.411522634,0,,,,
-0.00549864,-0.576131687,0,,,,
-0.005498304,-0.411522634,0,,,,
-0.005497968,-0.164609053,0,,,,
-0.005497632,0,0,,,,
-0.005497296,0.082304527,0,,,,
-0.00549696,-0.164609053,0,,,,
-0.005496624,0.411522634,0,,,,
-0.005496288,1.316872428,0,,,,
-0.005495952,-0.49382716,0,,,,
-0.005495616,-0.49382716,0,,,,
-0.00549528,-0.49382716,0,,,,
-0.005494944,-0.49382716,0,,,,
-0.005494608,0.082304527,0,,,,
-0.005494272,0,0,,,,
-0.005493936,0.411522634,0,,,,
-0.0054936,0.49382716,0,,,,
-0.005493264,0.24691358,0,,,,
-0.005492928,-0.082304527,0,,,,
-0.005492592,-0.576131687,0,,,,
-0.005492256,-0.411522634,0,,,,
-0.00549192,-0.411522634,0,,,,
-0.005491584,-0.082304527,0,,,,
-0.005491248,0.082304527,0,,,,
