#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:54:37.530.963.799,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005504962,2.551440329,0,,,7.0781893,-6.502057613
-0.005504626,0.905349794,0,,,,
-0.00550429,0.576131687,0,,,,
-0.005503954,0.740740741,0,,,,
-0.005503618,1.069958848,0,,,,
-0.005503282,1.975308642,0,,,,
-0.005502946,2.057613169,0,,,,
-0.00550261,0.740740741,0,,,,
-0.005502274,-1.481481481,0,,,,
-0.005501938,-3.456790123,0,,,,
-0.005501602,-3.868312757,0,,,,
-0.005501266,-3.78600823,0,,,,
-0.00550093,-3.209876543,0,,,,
-0.005500594,-2.057613169,0,,,,
-0.005500258,-0.823045267,0,,,,
-0.005499922,0.082304527,0,,,,
-0.005499586,3.29218107,0,,,,
-0.00549925,4.444444444,0,,,,
-0.005498914,4.526748971,0,,,,
-0.005498578,3.78600823,0,,,,
-0.005498242,0.49382716,0,,,,
-0.005497906,-2.304526749,0,,,,
-0.00549757,-4.197530864,0,,,,
-0.005497234,-3.78600823,0,,,,
-0.005496898,-6.255144033,0,,,,
-0.005496562,-6.090534979,0,,,,
-0.005496226,-2.551440329,0,,,,
-0.00549589,0.164609053,0,,,,
-0.005495554,1.399176955,0,,,,
-0.005495218,1.152263374,0,,,,
-0.005494882,2.304526749,0,,,,
-0.005494546,3.53909465,0,,,,
-0.00549421,3.456790123,0,,,,
-0.005493874,2.222222222,0,,,,
-0.005493538,0.905349794,0,,,,
-0.005493202,1.481481481,0,,,,
-0.005492866,4.362139918,0,,,,
-0.00549253,4.362139918,0,,,,
-0.005492194,4.444444444,0,,,,
-0.005491858,-0.24691358,0,,,,
-0.005491522,-4.032921811,0,,,,
-0.005491186,-4.115226337,0,,,,
-0.00549085,-4.032921811,0,,,,
-0.005490514,-3.950617284,0,,,,
-0.005490178,-1.481481481,0,,,,
-0.005489842,0.740740741,0,,,,
-0.005489506,0.987654321,0,,,,
-0.00548917,1.646090535,0,,,,
-0.005488834,4.444444444,0,,,,
-0.005488498,4.362139918,0,,,,
-0.005488162,4.444444444,0,,,,
-0.005487826,3.950617284,0,,,,
-0.00548749,2.139917695,0,,,,
-0.005487154,0.082304527,0,,,,
-0.005486818,2.716049383,0,,,,
-0.005486482,3.04526749,0,,,,
-0.005486146,1.893004115,0,,,,
-0.00548581,2.633744856,0,,,,
-0.005485474,1.810699588,0,,,,
-0.005485138,-0.411522634,0,,,,
-0.005484802,-2.798353909,0,,,,
-0.005484466,-4.115226337,0,,,,
-0.00548413,-3.950617284,0,,,,
-0.005483794,-3.456790123,0,,,,
-0.005483458,-2.962962963,0,,,,
-0.005483122,-1.152263374,0,,,,
-0.005482786,-0.411522634,0,,,,
-0.00548245,1.069958848,0,,,,
-0.005482114,4.444444444,0,,,,
-0.005481778,4.279835391,0,,,,
-0.005481442,4.526748971,0,,,,
-0.005481106,2.057613169,0,,,,
-0.00548077,-0.49382716,0,,,,
