bit, value, max detected freq, mag
1,0,54487.179487179485,43076.795433976215
2,0,54487.179487179485,42092.09673444531
3,0,54487.179487179485,41676.73054653349
4,0,54487.179487179485,43814.28735209999
5,0,54487.179487179485,42737.3564724917
6,0,54487.179487179485,44058.42713682935
7,0,54487.179487179485,41257.648941918815
8,0,54487.179487179485,44086.470900227505
9,0,54487.179487179485,43541.48996409431
10,0,54487.179487179485,39939.395665506505
11,0,54487.179487179485,44969.601126418944
12,0,54487.179487179485,43173.93192252101
13,0,54487.179487179485,43706.34336043799
14,0,54487.179487179485,43775.46491128047
15,0,54487.179487179485,44277.104413004
16,0,54487.179487179485,44305.09364301056
17,0,54487.179487179485,44913.04664641611
18,0,54487.179487179485,42718.92260000288
19,0,54487.179487179485,43910.27620258792
20,0,54487.179487179485,43974.10334988644
21,0,54487.179487179485,44973.69525459549
22,0,54487.179487179485,41976.922976528695
23,0,54487.179487179485,43951.28062375873
24,0,54487.179487179485,41415.40319431627
25,0,54487.179487179485,42398.91928915919
26,0,54487.179487179485,43208.474953169934
27,0,54487.179487179485,40192.842089321224
28,0,54487.179487179485,43660.01166056152
29,0,54487.179487179485,44343.62247282979
30,0,54487.179487179485,42703.34239644368
31,0,54487.179487179485,42252.20533953172
32,0,54487.179487179485,39333.46617727786
33,0,54487.179487179485,43850.43010779578
34,0,54487.179487179485,45032.094278106255
35,0,54487.179487179485,45142.95243409282
36,0,54487.179487179485,43923.49358890692
37,0,54487.179487179485,44435.121512954276
38,0,54487.179487179485,43168.04334061776
39,0,54487.179487179485,44862.06250919156
40,0,54487.179487179485,43955.2816281603
41,0,54487.179487179485,42050.49030781066
42,0,54487.179487179485,44598.46961226319
43,0,54487.179487179485,43663.38506450833
44,0,54487.179487179485,44453.525755629686
45,0,54487.179487179485,44617.22057610216
46,0,54487.179487179485,44346.4909189415
47,0,54487.179487179485,44447.6553745481
48,0,54487.179487179485,43734.85630868882
49,0,54487.179487179485,44752.58976040075
50,0,54487.179487179485,41002.53529176644
51,0,54487.179487179485,43944.76080339569
52,0,54487.179487179485,43259.97644017955
53,0,54487.179487179485,44349.17395284216
54,0,54487.179487179485,43789.89357762941
55,0,54487.179487179485,44489.35063661064
56,0,54487.179487179485,43163.51009280702
57,0,54487.179487179485,43162.9100533005
58,0,54487.179487179485,43121.6390601626
59,0,54487.179487179485,44288.06197210995
60,0,54487.179487179485,44086.17240509623
61,0,54487.179487179485,44439.8423982406
62,0,54487.179487179485,42342.649522458436
63,0,54487.179487179485,41072.087719564646
64,0,54487.179487179485,39612.43433028847
65,1,76694.13919413919,62245.24724085241
66,1,76694.13919413919,74175.73322228262
