bit, value, max detected freq, mag
1,0,57200.0,4478.125586874922
2,0,57000.00000000001,8366.956735006304
3,0,52200.0,3477.9624463087757
4,1,76000.0,4677.037874822489
5,1,76000.0,3713.5454171821766
6,1,76000.0,4350.163832145801
7,1,76000.0,2538.3807189279546
8,0,57200.0,5732.408696138546
9,0,52000.00000000001,8121.942090443721
10,0,51800.00000000001,7586.248134580783
11,0,51800.00000000001,4968.8300915900745
12,1,76200.0,3963.769928577149
13,1,76000.0,5157.285967302169
14,1,76000.0,5239.557080429993
15,1,76000.0,2450.9545755521904
16,0,57000.00000000001,7555.981179553044
17,0,57200.0,6950.883367546714
18,0,51600.0,9686.471465349576
19,0,52000.00000000001,5781.324954862663
20,1,76000.0,4616.96392695111
21,1,76000.0,5481.460045317786
22,1,76200.0,4951.774238115028
23,1,76000.0,3617.1378058462265
24,0,57000.00000000001,8243.731485367667
25,0,57200.0,8934.034028457874
26,0,57200.0,6936.150927946623
27,0,52000.00000000001,7974.987501601358
28,1,76000.0,4100.33315620282
29,1,76000.0,4773.862716532079
30,1,76200.0,4427.862806422103
31,1,76000.0,3832.2687795078828
32,0,51600.0,10711.211906232482
33,0,57200.0,8217.858011628516
34,0,52000.00000000001,9097.29828380615
35,0,57000.00000000001,6383.743263927889
36,1,76000.0,5381.5681241734355
37,1,76000.0,4026.646122262146
38,1,76000.0,5422.083061026955
39,1,76000.0,5741.728907960289
40,0,52000.00000000001,9670.39333315966
41,0,57200.0,6568.206804847976
42,0,57000.00000000001,8076.294470257055
43,0,57000.00000000001,7752.773544303522
44,1,76000.0,5578.898305965522
45,1,76200.0,4307.733825712314
46,1,76000.0,5078.827590668729
47,1,76200.0,5097.953321096074
48,0,57200.0,9035.820367025439
49,0,52200.0,9109.661439255018
50,0,57000.00000000001,8564.341493023123
51,0,51800.00000000001,6755.109158069241
52,1,76000.0,4848.46456317909
53,1,76200.0,4348.492975597376
54,1,76200.0,4004.5056057974175
55,1,76200.0,5358.394087286266
56,0,57000.00000000001,7129.594594449465
57,0,51600.0,10428.445006264674
58,0,57000.00000000001,8721.722615334544
59,0,57000.00000000001,7123.144519352814
60,1,76000.0,4919.148732930008
61,1,76000.0,4706.317130159543
62,1,76000.0,5170.437079115508
63,1,76200.0,5044.444879713196
64,0,52200.0,9088.704580847088
65,0,52000.00000000001,8875.103260541604
66,0,52000.00000000001,9020.589404574246
67,0,57200.0,6863.204941063723
68,1,76000.0,5724.815395902152
69,1,76000.0,5399.080005641053
70,1,76000.0,4018.0434075534563
71,1,76000.0,5045.266797934719
72,0,51600.0,7975.627248925342
73,0,51600.0,8423.89140831948
74,0,57000.00000000001,8197.266550807062
75,0,57200.0,7418.847857622302
76,1,76000.0,4277.903087809109
77,1,76000.0,5052.98515872303
78,1,76200.0,4388.711145381647
79,1,76000.0,4311.79894700518
80,0,52200.0,8130.8629134856965
81,0,51600.0,8151.449759925894
82,0,52200.0,7006.980472311532
83,0,57000.00000000001,6598.430039697717
84,1,76200.0,3943.728213417989
85,1,76000.0,6200.532572640189
86,1,76000.0,5966.770500284476
87,1,76200.0,4574.521190905078
88,0,57000.00000000001,5809.594485533611
89,0,57000.00000000001,7567.560655927045
90,0,51600.0,9108.31783729156
91,0,57000.00000000001,6511.774471462753
92,1,76000.0,2952.2240900552492
93,1,76000.0,5211.434720606622
94,1,76000.0,4280.998496093596
95,1,76000.0,5398.506474996722
96,0,52000.00000000001,5758.443493284245
97,0,52200.0,10481.174385858387
98,0,52000.00000000001,7873.137952965831
99,0,51600.0,9443.737610798562
100,1,76200.0,1965.5489741600213
101,1,76000.0,5341.415799757069
102,1,76000.0,5491.475389392129
103,1,76000.0,4831.002410273479
104,0,51800.00000000001,3639.652796314973
105,0,52000.00000000001,8962.304371519094
106,0,52000.00000000001,8141.696295685838
107,0,52200.0,9928.12376250569
108,0,51800.00000000001,2114.473046793517
109,1,76200.0,4418.492028696388
110,1,76000.0,6015.007871838197
111,1,76000.0,5373.0511467605265
112,0,52000.00000000001,2321.4102369412485
