bit, value, max detected freq, mag
1,1,76000.0,6069.248115077913
2,1,76000.0,6632.135725767304
3,0,52200.0,10626.39835679679
4,0,57000.00000000001,10493.987493045413
5,0,52200.0,9314.782648613782
6,1,76000.0,5215.871566290652
7,1,76000.0,5995.812883821006
8,0,52200.0,9611.71979491715
9,1,76000.0,5551.139077444355
10,1,76000.0,5336.336422294181
11,0,57000.00000000001,8366.403824601535
12,0,57000.00000000001,9546.19466646711
13,0,57000.00000000001,9469.6355119578
14,1,76000.0,4136.205404620791
15,1,76000.0,5002.0379463966665
16,0,52000.00000000001,9296.33278838293
17,1,76200.0,5287.652249856491
18,1,76200.0,4708.013147445993
19,0,57200.0,9375.638603113866
20,0,57000.00000000001,11569.966627864644
21,0,57000.00000000001,10608.07795756684
22,1,76000.0,5174.292198059627
23,1,76000.0,6237.343913504359
24,0,57000.00000000001,9601.82439048918
25,1,76000.0,4348.442028080023
26,1,76000.0,6509.5714467953085
27,0,57000.00000000001,8573.258946240487
28,0,57000.00000000001,10982.078370325831
29,0,52000.00000000001,10811.453915740749
30,1,76200.0,3770.5634710277523
31,1,76000.0,4571.067461381616
32,0,57200.0,6832.6888599828
33,1,76000.0,4645.150555822247
34,1,76200.0,4006.1759550252896
35,0,57200.0,6437.668441775166
36,0,57000.00000000001,11191.98520587006
37,0,57200.0,9840.094948412272
38,1,76000.0,3811.1458887175622
39,1,76000.0,5496.802073181015
40,0,57000.00000000001,5909.276049234886
41,1,76200.0,3171.2171444433598
42,1,76000.0,4844.137906724301
43,0,57000.00000000001,6110.341232166603
44,0,52000.00000000001,9311.370339764271
45,0,57000.00000000001,11048.176066235208
46,1,76000.0,3262.4490471476465
47,1,76000.0,6230.3638577080865
48,0,52200.0,4896.586574152354
49,1,76000.0,2254.6325831598033
50,1,76000.0,5781.807555716711
51,0,57200.0,4134.260073936526
52,0,52200.0,11411.239446558768
53,0,57000.00000000001,9138.077086464198
54,0,52000.00000000001,2792.6461314510084
55,1,76000.0,6807.360668494036
56,0,57200.0,3045.7777498138103
57,0,57200.0,2711.6043089437076
58,1,76200.0,4226.11273111668
59,0,52400.0,2269.0246806836567
60,0,57000.00000000001,10095.33231759697
61,0,57000.00000000001,9329.22435259854
62,0,57000.00000000001,3723.4356764152317
63,1,76000.0,5368.087990604911
64,1,76000.0,2828.738073964177
65,0,57000.00000000001,4652.217451046899
66,1,76200.0,4500.725560406973
67,1,76000.0,2702.122676756643
68,0,57000.00000000001,8249.422713972865
69,0,57200.0,10899.198246343409
70,0,52200.0,6184.662567866802
71,1,76000.0,5100.735800656736
72,1,76000.0,3302.5639738483906
73,0,57000.00000000001,6776.747931786624
74,1,76000.0,5850.919819873887
75,1,76000.0,3304.5155342427834
76,0,57000.00000000001,9682.583858469581
77,0,57000.00000000001,10343.39778882204
78,0,57000.00000000001,8033.953170938852
79,1,76000.0,6171.287324572402
80,1,76200.0,4706.681062442298
81,0,57200.0,8540.828532465996
82,1,76200.0,5283.825763530474
83,1,76000.0,5171.581357055464
84,0,57000.00000000001,9162.37611767603
85,0,57000.00000000001,10181.156452089537
86,0,52200.0,7808.25382955174
87,1,76000.0,4074.726685888698
88,1,76000.0,5266.557218660571
89,0,57000.00000000001,8559.523338383915
90,1,76000.0,4790.789944053371
91,1,76000.0,5741.505562659557
92,0,57000.00000000001,9900.197739591156
93,0,57000.00000000001,9821.782859139606
94,0,57200.0,7538.3725318695215
95,1,76000.0,6623.5512283899925
96,1,76000.0,4656.528692350398
97,0,57200.0,7459.825214691887
98,1,76000.0,5568.109138519342
99,1,76000.0,6041.537478612936
100,0,57000.00000000001,8705.984790827086
101,0,52000.00000000001,11401.668416073857
102,0,57000.00000000001,10322.418691758365
103,1,76000.0,6179.646242927964
104,1,76000.0,5140.398012116943
105,0,57000.00000000001,9435.992604481557
106,1,76000.0,6105.2618888394045
107,1,76000.0,6646.1632608990985
108,0,52200.0,8230.330830539067
109,0,57000.00000000001,7914.75785194335
110,0,57000.00000000001,10433.40966913302
111,1,76000.0,6224.691603823192
112,1,76000.0,4894.955985215782
113,0,52200.0,10769.970437041164
114,1,76000.0,4828.03239443298
115,1,76000.0,6610.546605842949
116,0,57000.00000000001,10921.48994882825
117,0,57000.00000000001,10187.756395439093
118,0,57200.0,8261.8438975698
119,1,76000.0,6676.771855928068
120,1,76000.0,6123.53103053426
121,0,57200.0,10513.918610139324
122,1,76200.0,5098.3626143876745
123,1,76200.0,4394.179021541278
124,0,57000.00000000001,11136.59960777049
125,0,52200.0,8103.892334897341
126,0,57000.00000000001,8638.909542764677
127,1,76000.0,6383.553198820473
128,1,76000.0,5831.410062546323
129,0,57000.00000000001,10235.825757863659
130,1,76000.0,4878.896690374292
131,1,76000.0,5726.549346729984
132,0,57000.00000000001,8186.703671509415
133,0,57000.00000000001,11221.47454528985
134,0,57000.00000000001,10248.350640997094
135,1,76200.0,5625.52204028198
136,1,76000.0,5662.802062602226
137,0,57200.0,7273.382408620907
138,1,76200.0,5025.877466182285
139,1,76200.0,4161.736419066492
140,0,57000.00000000001,8678.68334721237
141,0,57000.00000000001,9585.756756002595
142,0,57000.00000000001,8766.11128589761
143,1,76000.0,3401.944533303712
144,1,76000.0,6038.402846068759
145,0,52200.0,8248.998082383114
146,1,76000.0,3931.792520214392
147,1,76000.0,5161.696441070419
148,0,57000.00000000001,5956.779776640187
149,0,57200.0,7829.386828466957
150,0,52200.0,11285.371964479298
151,1,76000.0,3026.192328156518
152,1,76000.0,6307.187360656156
153,0,52200.0,4840.260446029527
154,1,76000.0,2829.048737150417
155,1,76000.0,5852.927949762037
156,0,57000.00000000001,4539.082803090762
157,0,57000.00000000001,8969.48601133731
158,0,52200.0,8767.198348792734
159,0,52200.0,1823.3503552875495
160,1,76000.0,6344.3972829501145
161,0,57000.00000000001,2839.3490004733258
162,0,57200.0,2529.095316322834
163,1,76000.0,6203.217958508768
164,0,52000.00000000001,2911.822671844743
165,0,52200.0,10713.597475594828
166,0,52200.0,11706.948805201377
167,0,57000.00000000001,4010.4462069063457
168,1,76000.0,5460.046199019431
169,1,76000.0,2234.1839456142193
170,0,57200.0,3454.2681630930592
171,1,76000.0,4681.1191644876235
172,1,76000.0,2526.0180177028546
173,0,52200.0,10536.449523265943
174,0,57200.0,9899.76120541216
175,0,57000.00000000001,4648.877050940195
176,1,76000.0,5751.987154231946
177,1,76000.0,3226.1211912991
178,0,57200.0,5709.528551331277
179,1,76000.0,4581.393156881335
180,1,76000.0,3044.4642292966028
181,0,52000.00000000001,10317.048428333666
182,0,57200.0,8456.716649999371
183,0,52000.00000000001,6681.832540540279
184,1,76000.0,6233.912476898753
185,1,76000.0,3820.8877968750435
186,0,57200.0,6628.90235750871
187,1,76200.0,4868.965500290813
188,1,76000.0,4492.350934156391
189,0,57000.00000000001,11000.24344700522
190,0,57000.00000000001,10637.173190155958
191,0,52200.0,6758.131991605949
192,1,76000.0,5502.698796904944
193,1,76000.0,3998.1238160501816
194,0,52200.0,9782.915592275665
195,1,76200.0,4867.7125329863775
196,1,76000.0,5756.088533086189
197,0,57000.00000000001,9130.894063200472
198,0,57000.00000000001,9323.361747765923
199,0,57000.00000000001,8612.5568137937
200,1,76000.0,5649.26782323841
201,1,76000.0,4973.996942979429
202,0,57000.00000000001,8547.571482163914
203,1,76000.0,4971.640526573731
204,1,76000.0,4553.79652395585
205,0,57000.00000000001,9032.929587889974
