bit, value, max detected freq, mag
1,1,76000.0,1930.6133706972835
2,1,76000.0,1746.0869487587531
3,0,57200.0,2311.087174899139
4,0,57200.0,2697.1705413062473
5,0,57200.0,2766.890968370495
6,1,76000.0,1465.8349380699983
7,1,76000.0,1476.4747918746798
8,0,57200.0,2593.604910342684
9,1,76000.0,1670.464069735316
10,1,76000.0,1491.534371165364
11,0,57200.0,2527.3082313189198
12,0,52400.0,2815.8344882747633
13,0,52000.00000000001,2468.5956779739454
14,1,76000.0,1566.9950040382255
15,1,76000.0,1542.5232945701136
16,0,57200.0,2942.8714401543143
17,1,76000.0,1100.1271982177789
18,1,76000.0,1381.661474684171
19,0,57200.0,3143.343198756262
20,0,57200.0,2498.0985560353683
21,0,52000.00000000001,3103.411494687558
22,1,76000.0,1596.0697605642904
23,1,76000.0,1525.7386119219661
24,0,52400.0,2813.6633763222053
25,1,76000.0,1487.0758100320966
26,1,76000.0,1651.2078522175507
27,0,57200.0,2224.051000098464
28,0,57200.0,2339.653026571763
29,0,52000.00000000001,2907.7171243187986
30,1,76000.0,1527.5348941959323
31,1,76000.0,1397.4234823513466
32,0,57200.0,3118.4663511963236
33,1,76000.0,1533.528086951539
34,1,76000.0,1553.462681034469
35,0,57200.0,2113.35077058591
36,0,57200.0,2601.2031778225573
37,0,57200.0,2353.4662194828757
38,1,76000.0,1521.3822218797284
39,1,76000.0,1576.9753309718235
40,0,57200.0,2489.3715638693584
41,1,76000.0,1259.7988105320833
42,1,76000.0,1531.4134161672346
43,0,52000.00000000001,2338.1756751039293
44,0,52000.00000000001,2946.92887658558
45,0,52000.00000000001,2772.848739009043
46,1,76000.0,1341.5554340632264
47,1,76000.0,1512.9353091280725
48,0,57200.0,1760.7481439982566
49,1,76000.0,794.1859640346014
50,1,76000.0,1563.9675122280598
51,0,57200.0,1497.3474871975377
52,0,57200.0,2563.0031599435956
53,0,57200.0,2615.411134452446
54,0,52000.00000000001,720.1188633991223
55,1,76000.0,1738.473333288609
56,0,57200.0,1015.0485413045617
57,0,57200.0,745.7782984401431
58,1,76000.0,1551.5435681396566
59,1,76000.0,549.9215294661093
60,0,57200.0,2442.465766642722
61,0,52000.00000000001,2777.7826302623866
62,0,57200.0,1448.300366833345
63,1,76000.0,1432.4242736813353
64,1,76000.0,1046.3272803183372
65,0,57200.0,1565.1906675792493
66,1,76000.0,1240.0937984486725
67,1,76000.0,1030.0686048741056
68,0,57200.0,2763.219970236866
69,0,57200.0,3221.6024969515747
70,0,52000.00000000001,2112.079985804794
71,1,76000.0,1635.391547643431
72,1,76000.0,1406.3844850467678
73,0,57200.0,2334.3551785817335
74,1,76000.0,1689.7478114569374
75,1,76000.0,1249.5769705337382
76,0,57200.0,2549.0412312506696
77,0,57200.0,2571.359547911418
78,0,57200.0,2470.3209030314893
79,1,76000.0,1532.912554585495
80,1,76000.0,1265.8585563455613
81,0,57200.0,3036.853655411183
82,1,76400.0,1105.3507229739268
83,1,76000.0,1729.333561496414
84,0,57200.0,2682.563738891854
85,0,52000.00000000001,2421.628276737684
86,0,52000.00000000001,2824.8621952136323
87,1,76000.0,1413.1190464407173
88,1,76000.0,1542.068617363164
89,0,57200.0,2450.885103143514
90,1,76000.0,1435.5754705129793
91,1,76000.0,1807.7912607981712
92,0,52000.00000000001,2931.158006477206
93,0,52400.0,2241.1036093703888
94,0,57200.0,2722.1089602808074
95,1,76000.0,1581.106889524037
96,1,76000.0,1559.7732122711377
97,0,57200.0,2393.6563976352154
98,1,76000.0,1835.5730177117337
99,1,76000.0,1713.4965618318092
100,0,57200.0,2773.600925363887
101,0,52000.00000000001,3280.344431183492
102,0,52000.00000000001,2874.214185861114
103,1,76000.0,1609.0538890725275
104,1,76000.0,1503.6615240753065
105,0,57200.0,2721.575593312722
106,1,76000.0,1577.8008918444145
107,1,76000.0,1689.7690859536276
108,0,52000.00000000001,3132.6940828217175
109,0,57200.0,3045.1341619499826
110,0,52400.0,2951.147815876656
111,1,76000.0,1651.6815762316414
112,1,76000.0,1611.45514643423
113,0,57200.0,2393.8859704880697
114,1,76000.0,1818.7730014652025
115,1,76000.0,1649.0101445402279
116,0,57200.0,2290.335853934763
117,0,57200.0,2392.3251959140352
118,0,57200.0,2702.8829104982888
119,1,76000.0,1735.3449702359876
120,1,76000.0,1652.1411084832484
121,0,57200.0,2985.9329235126365
122,1,76000.0,1468.234296089963
123,1,76400.0,917.9005247465415
124,0,52400.0,2691.007870623268
125,0,57200.0,2504.17071939421
126,0,52000.00000000001,2999.3989454246853
127,1,76000.0,1717.4276163856528
128,1,76000.0,1674.0629250248435
129,0,52400.0,2510.9254837847157
130,1,76000.0,1713.4066347513906
131,1,76000.0,1391.9638818677224
132,0,52000.00000000001,2418.056634093513
133,0,57200.0,2493.662080413753
134,0,52000.00000000001,3061.659913243784
135,1,76000.0,1233.844225802253
136,1,76000.0,1675.713412229256
137,0,57200.0,2587.544415917872
138,1,76000.0,1537.6098593403865
139,1,76000.0,1234.5263882618353
140,0,52000.00000000001,2908.318995572463
141,0,57200.0,2943.354267200592
142,0,52000.00000000001,2447.6979019177797
143,1,76000.0,1385.0548653712162
144,1,76000.0,1535.8339734014266
145,0,52000.00000000001,2256.782277664534
146,1,76000.0,1416.8175524840947
147,1,76000.0,1362.650235089774
148,0,52000.00000000001,2161.120409502099
149,0,57200.0,2677.1525344840647
150,0,57200.0,2213.0331186891854
151,1,76000.0,1067.090364147398
152,1,76000.0,1786.3077851145786
153,0,57200.0,1803.6869984016757
154,1,76000.0,994.1589893112587
155,1,76000.0,1588.3736409089818
156,0,57200.0,1546.879344270682
157,0,57200.0,2238.7405178772046
158,0,57200.0,2665.782213051004
159,1,76400.0,754.1927660051116
160,1,76000.0,1616.3890744118635
161,0,51600.0,898.1100002473454
162,0,56800.00000000001,742.2486142999742
163,1,76000.0,1796.0758469778045
164,0,52000.00000000001,785.8644115612674
165,0,57200.0,2710.5976428588338
166,0,57200.0,2446.008005333507
167,0,57200.0,1169.110860003513
168,1,76000.0,1525.4086438766121
169,1,76000.0,1012.3259378510618
170,0,52400.0,1515.8080007319668
171,1,76000.0,1559.880772925968
172,1,76000.0,944.2971516706098
173,0,57200.0,2508.6272848337094
174,0,57200.0,3161.8183422666953
175,0,52000.00000000001,1847.0744842727036
176,1,76000.0,1484.2882154691756
177,1,76000.0,1356.3272022640708
178,0,57200.0,2359.857048548515
179,1,76000.0,1661.3835703909406
180,1,76000.0,1213.342387833462
181,0,57200.0,2722.1504753972863
182,0,57200.0,2634.217551278643
183,0,52000.00000000001,2890.14047293804
184,1,76000.0,1710.917790890206
185,1,76000.0,1494.8092366682176
186,0,57200.0,2604.851946279277
187,1,76000.0,1370.0085417418863
188,1,76000.0,1569.146550085044
189,0,52000.00000000001,2640.2084250551543
190,0,52000.00000000001,3052.542929673498
191,0,57200.0,2580.78360115632
192,1,76000.0,1632.404058735158
193,1,76000.0,1453.1764893245763
194,0,57200.0,2185.752299518051
195,1,76400.0,965.5591139398372
196,1,76000.0,1833.271221740173
197,0,57200.0,2675.021380534559
198,0,57200.0,2925.0145548272158
199,0,57200.0,2520.916997967629
200,1,76000.0,1526.4830960152487
201,1,76000.0,1476.2360127715353
202,0,57200.0,2450.139357367798
203,1,76000.0,1691.0012361684403
204,1,76000.0,1426.087652232485
205,0,57200.0,2455.5732694550097
206,0,57200.0,2676.728169375572
207,0,57200.0,2613.2837288951023
208,1,76000.0,1438.2929172817167
209,1,76000.0,1675.7144242773059
210,0,57200.0,2998.8905670116483
211,1,76000.0,1740.5606964281978
212,1,76000.0,1783.1551100289782
213,0,57200.0,2714.404683094177
214,0,57200.0,2684.3862865347464
215,0,52000.00000000001,2998.746487061837
216,1,76000.0,1400.9578977552371
217,1,76000.0,1564.550235053131
218,0,57200.0,2902.570042341641
219,1,76000.0,1720.5753569897265
220,1,76000.0,1776.976683511812
221,0,52000.00000000001,2804.4244823645263
222,0,52400.0,2586.5776631631556
223,0,57200.0,2524.250151519618
224,1,76000.0,1718.750147663066
225,1,76000.0,1889.3660184046882
226,0,57200.0,2511.2713807875807
227,1,76000.0,1568.8232252038745
228,1,76000.0,1494.4723844794132
229,0,57200.0,2913.748657445767
230,0,52000.00000000001,2787.200472304273
231,0,57200.0,2611.056901859052
232,1,76000.0,1560.3222384824608
233,1,76000.0,1576.0643637569708
234,0,52400.0,2820.802866016821
235,1,76000.0,1754.8981636576227
236,1,76000.0,1260.2897312006655
237,0,52000.00000000001,2891.5466520351792
238,0,57200.0,2625.364141558618
239,0,52000.00000000001,2658.9397207488
240,1,76000.0,1428.9055108143075
241,1,76000.0,1638.0666442324357
242,0,52000.00000000001,2764.341599170718
243,1,76000.0,1673.0208515501354
244,1,76000.0,1776.31950775016
245,0,57200.0,2157.341199252932
246,0,52400.0,2929.175208702867
247,0,52400.0,2773.8053402308024
248,1,76000.0,1567.3841859624877
249,1,76400.0,1305.0341941935242
250,0,52000.00000000001,2575.1799685257256
251,1,76000.0,1333.941934347371
252,1,76000.0,1732.2056590866864
253,0,57200.0,2818.880660883203
254,0,52000.00000000001,2809.8106238198034
255,0,57200.0,2808.917360190724
256,1,76000.0,1423.338222911708
Recorded Data
1100011011000110110001101100011011000110110001101100001001100011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001101100011001000011011000110110001101100011011000110110001101100011011000110110001101100011011000110110001
