bit, value, max detected freq, mag
1,1,76067.61565836298,507.47952470670594
2,1,76067.61565836298,439.07226958647374
3,0,52046.26334519572,854.6216136996936
4,0,52046.26334519572,612.0200999511119
5,0,52046.26334519572,745.1309756463813
6,1,76067.61565836298,433.3079139592613
7,1,76067.61565836298,388.48970523753025
8,0,56850.533807829175,741.009094868578
9,1,76067.61565836298,429.180326636024
10,1,76067.61565836298,397.03803224733406
11,0,52046.26334519572,799.1435978709094
12,0,52046.26334519572,707.6956728628694
13,0,52046.26334519572,632.7765888817603
14,1,76067.61565836298,443.74853294374446
15,1,76067.61565836298,420.5856119467056
16,0,52046.26334519572,784.5643283294097
17,1,76067.61565836298,304.49264358002245
18,1,76067.61565836298,392.36939516203597
19,0,57651.24555160142,639.5849820174025
20,0,56850.533807829175,829.9713341854863
21,0,52046.26334519572,835.4507499935839
22,1,76067.61565836298,435.1313172552825
23,1,76067.61565836298,372.91400126798897
24,0,52046.26334519572,707.7750245715804
25,1,76067.61565836298,364.8649280898313
26,1,76067.61565836298,422.1113809095383
27,0,52046.26334519572,642.1109783587559
28,0,56850.533807829175,830.6181677181551
29,0,52046.26334519572,608.8671334178966
30,1,76067.61565836298,452.95866658990855
31,1,76067.61565836298,416.3785365279066
32,0,51245.55160142348,784.8113442038848
33,1,76067.61565836298,398.92612712046287
34,1,76067.61565836298,436.2730552432772
35,0,51245.55160142348,654.1863087933689
36,0,56850.533807829175,705.5547033797075
37,0,52046.26334519572,805.7902756082659
38,1,76067.61565836298,442.86153711471803
39,1,76067.61565836298,402.6675489574258
40,0,56850.533807829175,806.0936900148517
41,1,76067.61565836298,376.15077898741265
42,1,76067.61565836298,421.1421391089134
43,0,52046.26334519572,931.3215109328539
44,0,52046.26334519572,845.4969350087179
45,0,52046.26334519572,742.7925949075518
46,1,76067.61565836298,508.3488113306281
47,1,76067.61565836298,318.6425013006367
48,0,52046.26334519572,701.0006005157417
49,1,76067.61565836298,305.89155222189345
50,1,76067.61565836298,424.0680431001384
51,0,56850.533807829175,577.1957435307261
52,0,52046.26334519572,758.9288193150355
53,0,56850.533807829175,603.94131043808
54,1,76067.61565836298,260.10273406501915
55,1,76067.61565836298,406.99040655975205
56,0,56850.533807829175,249.16006163016323
57,0,56850.533807829175,221.98529494518226
58,1,76067.61565836298,434.3870095414585
59,1,76067.61565836298,221.80230366128436
60,0,52046.26334519572,760.8457755094777
61,0,56850.533807829175,836.6611785210591
62,0,56850.533807829175,667.4063140138521
63,1,76067.61565836298,337.51154791392855
64,1,76067.61565836298,375.4851013220797
65,0,52046.26334519572,659.8096522052253
66,1,76067.61565836298,419.1898880506268
67,1,76067.61565836298,314.56397667301155
68,0,52046.26334519572,613.6637854714207
69,0,52046.26334519572,724.6229386750636
70,0,52046.26334519572,735.797842677582
71,1,76067.61565836298,438.415544166979
72,1,76067.61565836298,436.40190910758747
73,0,56850.533807829175,730.4209251622678
74,1,76067.61565836298,445.0696053230328
75,1,76067.61565836298,385.661864677746
76,0,56850.533807829175,685.4608709519031
77,0,56850.533807829175,795.7641891893393
78,0,56850.533807829175,705.6536650595353
79,1,76067.61565836298,367.768074348502
80,1,76067.61565836298,394.9657664855679
81,0,51245.55160142348,740.4240618058298
82,1,76868.32740213524,232.70397827146004
83,1,76067.61565836298,473.69803695937986
84,0,52046.26334519572,774.270474914227
85,0,56850.533807829175,686.3647289593491
86,0,52046.26334519572,886.0311947170428
87,1,76067.61565836298,439.2835473897372
88,1,76067.61565836298,352.51857690345184
89,0,52046.26334519572,599.5904044693425
90,1,76067.61565836298,441.5969623124628
91,1,76067.61565836298,451.97163794552506
92,0,52046.26334519572,820.0389317830204
93,0,52046.26334519572,641.3334733210102
94,0,51245.55160142348,645.5809317136284
95,1,76067.61565836298,371.29605622458473
96,1,76067.61565836298,512.5156564662232
97,0,52046.26334519572,636.8629198005453
98,1,76067.61565836298,453.6386873369934
99,1,76067.61565836298,503.5619594999341
100,0,56850.533807829175,727.875902889552
101,0,52046.26334519572,776.5020336651896
102,0,52046.26334519572,814.426952228853
103,1,76067.61565836298,374.5135736669554
104,1,76067.61565836298,408.8011141298714
105,0,56850.533807829175,740.0775010853415
106,1,76067.61565836298,331.6778125933019
107,1,76067.61565836298,412.9116073759449
108,0,52046.26334519572,866.9426265534098
109,0,51245.55160142348,783.4824451676371
110,0,52046.26334519572,725.063717740301
111,1,76067.61565836298,368.5349163923453
112,1,76067.61565836298,425.4479230280705
113,0,52046.26334519572,660.5912743176341
114,1,76067.61565836298,426.8835255958015
115,1,76067.61565836298,436.7492941382137
116,0,56850.533807829175,734.759341497725
117,0,56850.533807829175,724.0142163143696
118,0,56850.533807829175,573.3799918368744
119,1,76067.61565836298,421.68832835127387
120,1,76067.61565836298,366.0053937972429
121,0,52046.26334519572,723.4263001880533
122,1,76067.61565836298,361.12648155809364
123,1,76067.61565836298,249.10524313174747
124,0,52046.26334519572,735.9634963736133
125,0,52046.26334519572,513.8176716906318
126,0,52046.26334519572,901.96699617634
127,1,76067.61565836298,399.75508281980456
128,1,76067.61565836298,418.9971036883148
129,0,56850.533807829175,797.3365845413917
130,1,76067.61565836298,452.40341000430186
131,1,76067.61565836298,320.8061684597656
132,0,52046.26334519572,753.0312733203946
133,0,56850.533807829175,825.9315339332543
134,0,52046.26334519572,723.8793910328034
135,1,76067.61565836298,338.16966764457186
136,1,76067.61565836298,445.66293245867126
137,0,56850.533807829175,691.5887276386163
138,1,76067.61565836298,430.8766857195217
139,1,76067.61565836298,388.0806328244681
140,0,52046.26334519572,889.143428708501
141,0,51245.55160142348,671.8684545918998
142,0,52046.26334519572,796.1918314909055
143,1,76067.61565836298,381.8742223250672
144,1,76067.61565836298,409.49919749437584
145,0,52046.26334519572,768.8512955555007
146,1,76067.61565836298,349.11280937278786
147,1,76067.61565836298,395.8848520186663
148,0,52046.26334519572,720.351261755183
149,0,56850.533807829175,498.040868413005
150,0,52046.26334519572,686.890392604615
151,1,76067.61565836298,379.20892129546286
152,1,76067.61565836298,516.1518688369807
153,0,52046.26334519572,624.7914115800913
154,1,76067.61565836298,333.6314297461626
155,1,76067.61565836298,363.29042241008005
156,0,52046.26334519572,648.2974698867047
157,0,52046.26334519572,732.6216039179931
158,0,52046.26334519572,588.0017004063473
159,1,76067.61565836298,273.21202864803865
160,1,76067.61565836298,414.459493022881
161,0,57651.24555160142,293.6769790784383
162,1,76067.61565836298,228.42007553745046
163,1,76067.61565836298,460.71582268608506
164,0,52046.26334519572,227.0376004812483
