bit, value, max detected freq, mag
1,0,57000.00000000001,8107.653116973005
2,1,76200.0,4361.269051299398
3,0,52000.00000000001,8495.967895579128
4,0,52200.0,10021.296183827817
5,1,76000.0,4796.60963069102
6,0,52000.00000000001,7583.384495478824
7,0,51800.00000000001,10569.995556205595
8,1,76000.0,3821.7259006928857
9,0,57000.00000000001,6957.738407068703
10,1,76000.0,4177.599242806207
11,0,57200.0,5765.514497771521
12,0,57000.00000000001,11248.417592334463
13,1,76000.0,3520.0093900127445
14,0,57200.0,5252.983048201848
15,0,57000.00000000001,9665.561693117814
16,1,76000.0,3034.543892010204
17,0,52200.0,6321.526331720608
18,1,76000.0,3229.192613919927
19,0,57200.0,4492.456870820688
20,0,57000.00000000001,11073.865007014656
21,1,76200.0,2498.211779743255
22,0,52200.0,4476.918918226662
23,0,57200.0,10110.956624146871
24,0,57000.00000000001,2600.4376114929255
25,0,57000.00000000001,3774.1764618944135
26,0,52400.0,2999.5510084637353
27,0,57000.00000000001,2878.584914544652
28,0,51800.00000000001,10006.599775338094
29,0,52200.0,2819.4868356352326
30,0,57000.00000000001,2938.4309217909195
31,0,57000.00000000001,8898.33212914101
32,0,57200.0,3391.3547208233476
33,1,76000.0,2337.8869973416067
34,0,52200.0,4138.625467785538
35,1,76000.0,2230.306548039201
36,0,57000.00000000001,10889.645361189814
37,0,57200.0,4648.668204227595
38,1,76000.0,2838.9699418422383
39,0,57000.00000000001,9414.96429160209
40,0,57000.00000000001,5391.3313681104155
41,1,76000.0,2873.568555021058
42,0,51600.0,6092.63244455448
43,1,76000.0,3374.923635144731
44,0,57000.00000000001,12054.526219346955
45,0,57000.00000000001,6210.1266204444255
46,1,76000.0,3547.35219408023
47,0,57200.0,8804.743445773409
48,0,57000.00000000001,7597.326963077316
49,1,76000.0,4452.438912404697
50,0,52000.00000000001,7942.762205625602
51,1,76000.0,4633.593863713269
52,0,57000.00000000001,9809.141650770463
53,0,52000.00000000001,9575.722392758518
54,1,76000.0,4383.24598875439
55,0,57000.00000000001,10896.811858036908
56,0,57000.00000000001,7783.995804135932
57,1,76200.0,4471.4074460828115
58,0,57000.00000000001,9687.300287252527
59,1,76000.0,5398.7351141873505
60,0,57000.00000000001,10982.242522648752
61,0,57000.00000000001,9007.644153423786
62,1,76200.0,4433.096252048407
63,0,57000.00000000001,9727.780735891865
64,0,52200.0,10522.498239891009
65,1,76000.0,4780.029613160522
66,0,57000.00000000001,8403.810519423549
67,1,76000.0,4816.4993793087015
68,0,57000.00000000001,11865.08921191555
69,0,57200.0,11556.977987511955
70,1,76000.0,5020.354771477149
71,0,57000.00000000001,9266.528382975248
72,0,57000.00000000001,10350.771157986474
73,1,76000.0,5014.545206695331
74,0,57200.0,9389.96734775945
75,1,76000.0,5932.975918676629
76,0,57200.0,11412.364900059481
77,0,57000.00000000001,8955.062996062206
78,1,76000.0,6456.5850574241795
79,0,57000.00000000001,11874.494405758755
80,0,57000.00000000001,10926.382427031427
81,1,76000.0,6606.780488504506
82,0,57200.0,10804.90585068401
83,1,76000.0,4668.6054581802355
84,0,52200.0,9250.033982045672
85,0,57000.00000000001,8727.268145519469
86,1,76000.0,5476.064467721175
87,0,57000.00000000001,8007.787166837979
88,0,57200.0,9869.698419255234
89,1,76000.0,6184.601013691216
90,0,57000.00000000001,10406.850430810293
91,1,76000.0,4677.241886143427
92,0,57200.0,8594.664218362683
93,0,57000.00000000001,10285.25085369918
94,1,76000.0,6279.090415520633
95,0,57000.00000000001,10590.900701354896
96,0,57000.00000000001,11692.098426324817
97,1,76000.0,5752.582180089785
98,0,52200.0,10189.989253227333
99,1,76000.0,6047.828498110592
100,0,57000.00000000001,10435.506304226274
101,0,52200.0,8469.767344420437
102,1,76000.0,4791.230143442826
103,0,57200.0,9652.823262292146
104,0,57000.00000000001,8426.607336099045
105,1,76000.0,4403.805601154234
106,0,57000.00000000001,9324.364323829439
107,1,76000.0,5211.4863365211995
108,0,52200.0,10290.930356505674
109,0,57200.0,10472.474196387624
110,1,76000.0,4958.923982517683
111,0,57000.00000000001,10110.524019171236
112,0,57000.00000000001,8418.605746455198
113,1,76000.0,4216.760277981529
114,0,52000.00000000001,8525.921281002142
115,1,76000.0,3723.196313430822
116,0,57200.0,6837.372737117481
117,0,57200.0,10180.33256547463
118,1,76000.0,3749.4199800530455
119,0,57200.0,6395.826713310697
120,0,57200.0,11872.058445788043
121,1,76000.0,3611.1688964043906
122,0,57200.0,6428.276755714927
123,1,76000.0,2820.3329553143158
124,0,52200.0,5231.953308814091
125,0,57200.0,7537.18667998326
126,1,76000.0,3462.081799793306
127,0,52000.00000000001,5718.202186016806
128,0,52200.0,8636.034574707346
129,0,57000.00000000001,1940.7588760856574
130,0,57200.0,5320.473649334275
131,1,76000.0,2267.784555568314
132,0,57200.0,3821.692820015045
133,0,57000.00000000001,11929.041298192147
134,0,57000.00000000001,2322.723738607897
135,0,52200.0,3166.9422550617246
136,0,57000.00000000001,10834.635848824506
137,0,57200.0,2899.4549420716476
138,0,57000.00000000001,2431.5902212794476
139,0,52200.0,3095.1864259492495
140,0,57000.00000000001,2352.309605204822
141,0,57200.0,8781.914216187422
142,0,51800.00000000001,3735.5245976712813
143,1,76000.0,2205.7208495488094
144,0,57200.0,8167.049586707908
145,0,57200.0,4700.78930379965
146,1,76000.0,2866.3969238181894
147,0,57000.00000000001,5190.880903141109
