bit, value, max detected freq, mag
1,0,53669.724770642206,30515.80547348536
2,0,53899.082568807346,23702.73125134295
3,0,53669.724770642206,32994.246410243155
4,0,53899.082568807346,26033.150084634497
5,0,54128.44036697248,34618.78343559667
6,0,53899.082568807346,33087.19921455595
7,0,53669.724770642206,31442.880957551344
8,0,54128.44036697248,28041.75998485342
9,0,53899.082568807346,32630.790453317633
10,0,53669.724770642206,39331.45726312647
11,0,53899.082568807346,31255.25250724592
12,0,53899.082568807346,29055.25598344116
13,0,53899.082568807346,24553.22195307178
14,0,53899.082568807346,32471.16096961487
15,0,53669.724770642206,33898.381754791095
16,0,53899.082568807346,31979.29771324687
17,0,54128.44036697248,32867.20791919337
18,0,53899.082568807346,30789.87317332885
19,0,53899.082568807346,31465.366171141362
20,0,53899.082568807346,29196.842721470646
21,0,54128.44036697248,32724.087436177317
22,0,53669.724770642206,36973.95258575378
23,0,53899.082568807346,31340.15590619783
24,0,53899.082568807346,31895.72882788253
25,0,53899.082568807346,32020.50329917803
26,0,53899.082568807346,32329.891598784045
27,0,53899.082568807346,28617.145011427136
28,0,53669.724770642206,31182.606882861477
29,0,53899.082568807346,31717.836108057752
30,0,53669.724770642206,32438.557207330952
31,0,53899.082568807346,32231.929324971818
32,0,53899.082568807346,36045.09027136515
33,0,53899.082568807346,22048.560266668956
34,0,53669.724770642206,41458.043449999044
35,0,53669.724770642206,30981.527425475855
36,0,53899.082568807346,28013.616120435694
37,0,53669.724770642206,31532.84325348999
38,0,54128.44036697248,32881.95694001263
39,0,53669.724770642206,39728.5041318023
40,0,53669.724770642206,36996.62760534788
41,0,54128.44036697248,36523.93323680099
42,0,53669.724770642206,39204.118560029776
43,0,53899.082568807346,29467.420527702547
44,0,53669.724770642206,38398.45305250178
45,0,53899.082568807346,32055.105814460192
46,0,53669.724770642206,30128.289819354464
47,0,53669.724770642206,33523.02450111387
48,0,53899.082568807346,33916.02815750172
49,0,53899.082568807346,31928.831705008168
50,0,53899.082568807346,25626.33016740095
51,0,53899.082568807346,33051.2782254079
52,0,53899.082568807346,31322.38645266945
53,0,53899.082568807346,25464.638653609865
54,0,53899.082568807346,30908.20793919317
55,0,53899.082568807346,29407.266181553958
